"division","state","years","sex","measure","participants"
"New South Wales","New England","18-19","male","Participation rate (%)",65.8
"New South Wales","North Sydney","18-19","male","Total participants",940
"New South Wales","North Sydney","18-19","male","Eligible participants",1175
"New South Wales","North Sydney","18-19","male","Participation rate (%)",80
"New South Wales","Page","18-19","male","Total participants",1065
"New South Wales","Page","18-19","male","Eligible participants",1555
"New South Wales","Page","18-19","male","Participation rate (%)",68.5
"New South Wales","Parkes","18-19","male","Total participants",877
"New South Wales","Parkes","18-19","male","Eligible participants",1387
"New South Wales","Parkes","18-19","male","Participation rate (%)",63.2
"New South Wales","Parramatta","18-19","male","Total participants",998
"New South Wales","Parramatta","18-19","male","Eligible participants",1304
"New South Wales","Parramatta","18-19","male","Participation rate (%)",76.5
"New South Wales","Paterson","18-19","male","Total participants",1166
"New South Wales","Paterson","18-19","male","Eligible participants",1628
"New South Wales","Paterson","18-19","male","Participation rate (%)",71.6
"New South Wales","Reid","18-19","male","Total participants",950
"New South Wales","Reid","18-19","male","Eligible participants",1216
"New South Wales","Reid","18-19","male","Participation rate (%)",78.1
"New South Wales","Richmond","18-19","male","Total participants",919
"New South Wales","Richmond","18-19","male","Eligible participants",1303
"New South Wales","Richmond","18-19","male","Participation rate (%)",70.5
"New South Wales","Riverina","18-19","male","Total participants",1009
"New South Wales","Riverina","18-19","male","Eligible participants",1524
"New South Wales","Riverina","18-19","male","Participation rate (%)",66.2
"New South Wales","Robertson","18-19","male","Total participants",1036
"New South Wales","Robertson","18-19","male","Eligible participants",1410
"New South Wales","Robertson","18-19","male","Participation rate (%)",73.5
"New South Wales","Shortland","18-19","male","Total participants",1201
"New South Wales","Shortland","18-19","male","Eligible participants",1552
"New South Wales","Shortland","18-19","male","Participation rate (%)",77.4
"New South Wales","Sydney","18-19","male","Total participants",437
"New South Wales","Sydney","18-19","male","Eligible participants",575
"New South Wales","Sydney","18-19","male","Participation rate (%)",76
"New South Wales","Warringah","18-19","male","Total participants",1057
"New South Wales","Warringah","18-19","male","Eligible participants",1276
"New South Wales","Warringah","18-19","male","Participation rate (%)",82.8
"New South Wales","Watson","18-19","male","Total participants",1156
"New South Wales","Watson","18-19","male","Eligible participants",1525
"New South Wales","Watson","18-19","male","Participation rate (%)",75.8
"New South Wales","Wentworth","18-19","male","Total participants",826
"New South Wales","Wentworth","18-19","male","Eligible participants",991
"New South Wales","Wentworth","18-19","male","Participation rate (%)",83.4
"New South Wales","Werriwa","18-19","male","Total participants",1455
"New South Wales","Werriwa","18-19","male","Eligible participants",1993
"New South Wales","Werriwa","18-19","male","Participation rate (%)",73
"New South Wales","Whitlam","18-19","male","Total participants",1212
"New South Wales","Whitlam","18-19","male","Eligible participants",1667
"New South Wales","Whitlam","18-19","male","Participation rate (%)",72.7
"Victoria","Aston","18-19","male","Total participants",1072
"Victoria","Aston","18-19","male","Eligible participants",1362
"Victoria","Aston","18-19","male","Participation rate (%)",78.7
"Victoria","Ballarat","18-19","male","Total participants",1139
"Victoria","Ballarat","18-19","male","Eligible participants",1446
"Victoria","Ballarat","18-19","male","Participation rate (%)",78.8
"Victoria","Batman","18-19","male","Total participants",797
"Victoria","Batman","18-19","male","Eligible participants",987
"Victoria","Batman","18-19","male","Participation rate (%)",80.7
"Victoria","Bendigo","18-19","male","Total participants",1072
"Victoria","Bendigo","18-19","male","Eligible participants",1367
"Victoria","Bendigo","18-19","male","Participation rate (%)",78.4
"Victoria","Bruce","18-19","male","Total participants",892
"Victoria","Bruce","18-19","male","Eligible participants",1164
"Victoria","Bruce","18-19","male","Participation rate (%)",76.6
"Victoria","Calwell","18-19","male","Total participants",1247
"Victoria","Calwell","18-19","male","Eligible participants",1609
"Victoria","Calwell","18-19","male","Participation rate (%)",77.5
"Victoria","Casey","18-19","male","Total participants",1089
"Victoria","Casey","18-19","male","Eligible participants",1369
"Victoria","Casey","18-19","male","Participation rate (%)",79.5
"Victoria","Chisholm","18-19","male","Total participants",1056
"Victoria","Chisholm","18-19","male","Eligible participants",1306
"Victoria","Chisholm","18-19","male","Participation rate (%)",80.9
"Victoria","Corangamite","18-19","male","Total participants",1160
"Victoria","Corangamite","18-19","male","Eligible participants",1420
"Victoria","Corangamite","18-19","male","Participation rate (%)",81.7
"Victoria","Corio","18-19","male","Total participants",1060
"Victoria","Corio","18-19","male","Eligible participants",1323
"Victoria","Corio","18-19","male","Participation rate (%)",80.1
"Victoria","Deakin","18-19","male","Total participants",983
"Victoria","Deakin","18-19","male","Eligible participants",1198
"Victoria","Deakin","18-19","male","Participation rate (%)",82.1
"Victoria","Dunkley","18-19","male","Total participants",985
"Victoria","Dunkley","18-19","male","Eligible participants",1257
"Victoria","Dunkley","18-19","male","Participation rate (%)",78.4
"Victoria","Flinders","18-19","male","Total participants",977
"Victoria","Flinders","18-19","male","Eligible participants",1290
"Victoria","Flinders","18-19","male","Participation rate (%)",75.7
"Victoria","Gellibrand","18-19","male","Total participants",887
"Victoria","Gellibrand","18-19","male","Eligible participants",1091
"Victoria","Gellibrand","18-19","male","Participation rate (%)",81.3
"Victoria","Gippsland","18-19","male","Total participants",844
"Victoria","Gippsland","18-19","male","Eligible participants",1130
"Victoria","Gippsland","18-19","male","Participation rate (%)",74.7
"Victoria","Goldstein","18-19","male","Total participants",1222
"Victoria","Goldstein","18-19","male","Eligible participants",1448
"Victoria","Goldstein","18-19","male","Participation rate (%)",84.4
"Victoria","Gorton","18-19","male","Total participants",1148
"Victoria","Gorton","18-19","male","Eligible participants",1531
"Victoria","Gorton","18-19","male","Participation rate (%)",75
"Victoria","Higgins","18-19","male","Total participants",973
"Victoria","Higgins","18-19","male","Eligible participants",1142
"Victoria","Higgins","18-19","male","Participation rate (%)",85.2
"Victoria","Holt","18-19","male","Total participants",1296
"Victoria","Holt","18-19","male","Eligible participants",1679
"Victoria","Holt","18-19","male","Participation rate (%)",77.2
"Victoria","Hotham","18-19","male","Total participants",889
"Victoria","Hotham","18-19","male","Eligible participants",1131
"Victoria","Hotham","18-19","male","Participation rate (%)",78.6
"Victoria","Indi","18-19","male","Total participants",859
"Victoria","Indi","18-19","male","Eligible participants",1105
"Victoria","Indi","18-19","male","Participation rate (%)",77.7
"Victoria","Isaacs","18-19","male","Total participants",1002
"Victoria","Isaacs","18-19","male","Eligible participants",1280
"Victoria","Isaacs","18-19","male","Participation rate (%)",78.3
"Victoria","Jagajaga","18-19","male","Total participants",1136
"Victoria","Jagajaga","18-19","male","Eligible participants",1351
"Victoria","Jagajaga","18-19","male","Participation rate (%)",84.1
"Victoria","Kooyong","18-19","male","Total participants",1247
"Victoria","Kooyong","18-19","male","Eligible participants",1471
"Victoria","Kooyong","18-19","male","Participation rate (%)",84.8
"Victoria","Lalor","18-19","male","Total participants",1322
"Victoria","Lalor","18-19","male","Eligible participants",1729
"Victoria","Lalor","18-19","male","Participation rate (%)",76.5
"Victoria","La Trobe","18-19","male","Total participants",1411
"Victoria","La Trobe","18-19","male","Eligible participants",1763
"Victoria","La Trobe","18-19","male","Participation rate (%)",80
"Victoria","Mallee","18-19","male","Total participants",872
"Victoria","Mallee","18-19","male","Eligible participants",1152
"Victoria","Mallee","18-19","male","Participation rate (%)",75.7
"Victoria","Maribyrnong","18-19","male","Total participants",965
"Victoria","Maribyrnong","18-19","male","Eligible participants",1211
"Victoria","Maribyrnong","18-19","male","Participation rate (%)",79.7
"Victoria","McEwen","18-19","male","Total participants",1485
"Victoria","McEwen","18-19","male","Eligible participants",1889
"Victoria","McEwen","18-19","male","Participation rate (%)",78.6
"Victoria","McMillan","18-19","male","Total participants",1098
"Victoria","McMillan","18-19","male","Eligible participants",1409
"Victoria","McMillan","18-19","male","Participation rate (%)",77.9
"Victoria","Melbourne","18-19","male","Total participants",715
"Victoria","Melbourne","18-19","male","Eligible participants",921
"Victoria","Melbourne","18-19","male","Participation rate (%)",77.6
"Victoria","Melbourne Ports","18-19","male","Total participants",624
"Victoria","Melbourne Ports","18-19","male","Eligible participants",743
"Victoria","Melbourne Ports","18-19","male","Participation rate (%)",84
"Victoria","Menzies","18-19","male","Total participants",1181
"Victoria","Menzies","18-19","male","Eligible participants",1438
"Victoria","Menzies","18-19","male","Participation rate (%)",82.1
"Victoria","Murray","18-19","male","Total participants",1004
"Victoria","Murray","18-19","male","Eligible participants",1329
"Victoria","Murray","18-19","male","Participation rate (%)",75.5
"Victoria","Scullin","18-19","male","Total participants",1159
"Victoria","Scullin","18-19","male","Eligible participants",1470
"Victoria","Scullin","18-19","male","Participation rate (%)",78.8
"Victoria","Wannon","18-19","male","Total participants",939
"Victoria","Wannon","18-19","male","Eligible participants",1230
"Victoria","Wannon","18-19","male","Participation rate (%)",76.3
"Victoria","Wills","18-19","male","Total participants",913
"Victoria","Wills","18-19","male","Eligible participants",1111
"Victoria","Wills","18-19","male","Participation rate (%)",82.2
"Queensland","Blair","18-19","male","Total participants",939
"Queensland","Blair","18-19","male","Eligible participants",1357
"Queensland","Blair","18-19","male","Participation rate (%)",69.2
"Queensland","Bonner","18-19","male","Total participants",1147
"Queensland","Bonner","18-19","male","Eligible participants",1459
"Queensland","Bonner","18-19","male","Participation rate (%)",78.6
"Queensland","Bowman","18-19","male","Total participants",1041
"Queensland","Bowman","18-19","male","Eligible participants",1384
"Queensland","Bowman","18-19","male","Participation rate (%)",75.2
"Queensland","Brisbane","18-19","male","Total participants",1058
"Queensland","Brisbane","18-19","male","Eligible participants",1357
"Queensland","Brisbane","18-19","male","Participation rate (%)",78
"Queensland","Capricornia","18-19","male","Total participants",794
"Queensland","Capricornia","18-19","male","Eligible participants",1164
"Queensland","Capricornia","18-19","male","Participation rate (%)",68.2
"Queensland","Dawson","18-19","male","Total participants",795
"Queensland","Dawson","18-19","male","Eligible participants",1120
"Queensland","Dawson","18-19","male","Participation rate (%)",71
"Queensland","Dickson","18-19","male","Total participants",1145
"Queensland","Dickson","18-19","male","Eligible participants",1512
"Queensland","Dickson","18-19","male","Participation rate (%)",75.7
"Queensland","Fadden","18-19","male","Total participants",976
"Queensland","Fadden","18-19","male","Eligible participants",1437
"Queensland","Fadden","18-19","male","Participation rate (%)",67.9
"Queensland","Fairfax","18-19","male","Total participants",959
"Queensland","Fairfax","18-19","male","Eligible participants",1308
"Queensland","Fairfax","18-19","male","Participation rate (%)",73.3
"Queensland","Fisher","18-19","male","Total participants",882
"Queensland","Fisher","18-19","male","Eligible participants",1187
"Queensland","Fisher","18-19","male","Participation rate (%)",74.3
"Queensland","Flynn","18-19","male","Total participants",707
"Queensland","Flynn","18-19","male","Eligible participants",1070
"Queensland","Flynn","18-19","male","Participation rate (%)",66.1
"Queensland","Forde","18-19","male","Total participants",909
"Queensland","Forde","18-19","male","Eligible participants",1296
"Queensland","Forde","18-19","male","Participation rate (%)",70.1
"Queensland","Griffith","18-19","male","Total participants",1069
"Queensland","Griffith","18-19","male","Eligible participants",1362
"Queensland","Griffith","18-19","male","Participation rate (%)",78.5
"Queensland","Groom","18-19","male","Total participants",978
"Queensland","Groom","18-19","male","Eligible participants",1368
"Queensland","Groom","18-19","male","Participation rate (%)",71.5
"Queensland","Herbert","18-19","male","Total participants",902
"Queensland","Herbert","18-19","male","Eligible participants",1399
"Queensland","Herbert","18-19","male","Participation rate (%)",64.5
"Queensland","Hinkler","18-19","male","Total participants",624
"Queensland","Hinkler","18-19","male","Eligible participants",969
"Queensland","Hinkler","18-19","male","Participation rate (%)",64.4
"Queensland","Kennedy","18-19","male","Total participants",514
"Queensland","Kennedy","18-19","male","Eligible participants",833
"Queensland","Kennedy","18-19","male","Participation rate (%)",61.7
"Queensland","Leichhardt","18-19","male","Total participants",651
"Queensland","Leichhardt","18-19","male","Eligible participants",1073
"Queensland","Leichhardt","18-19","male","Participation rate (%)",60.7
"Queensland","Lilley","18-19","male","Total participants",960
"Queensland","Lilley","18-19","male","Eligible participants",1267
"Queensland","Lilley","18-19","male","Participation rate (%)",75.8
"Queensland","Longman","18-19","male","Total participants",973
"Queensland","Longman","18-19","male","Eligible participants",1385
"Queensland","Longman","18-19","male","Participation rate (%)",70.3
"Queensland","Maranoa","18-19","male","Total participants",821
"Queensland","Maranoa","18-19","male","Eligible participants",1171
"Queensland","Maranoa","18-19","male","Participation rate (%)",70.1
"Queensland","McPherson","18-19","male","Total participants",913
"Queensland","McPherson","18-19","male","Eligible participants",1287
"Queensland","McPherson","18-19","male","Participation rate (%)",70.9
"Queensland","Moncrieff","18-19","male","Total participants",731
"Queensland","Moncrieff","18-19","male","Eligible participants",1075
"Queensland","Moncrieff","18-19","male","Participation rate (%)",68
"Queensland","Moreton","18-19","male","Total participants",1052
"Queensland","Moreton","18-19","male","Eligible participants",1417
"Queensland","Moreton","18-19","male","Participation rate (%)",74.2
"Queensland","Oxley","18-19","male","Total participants",1051
"Queensland","Oxley","18-19","male","Eligible participants",1467
"Queensland","Oxley","18-19","male","Participation rate (%)",71.6
"Queensland","Petrie","18-19","male","Total participants",935
"Queensland","Petrie","18-19","male","Eligible participants",1333
"Queensland","Petrie","18-19","male","Participation rate (%)",70.1
"Queensland","Rankin","18-19","male","Total participants",1014
"Queensland","Rankin","18-19","male","Eligible participants",1435
"Queensland","Rankin","18-19","male","Participation rate (%)",70.7
"Queensland","Ryan","18-19","male","Total participants",1567
"Queensland","Ryan","18-19","male","Eligible participants",1968
"Queensland","Ryan","18-19","male","Participation rate (%)",79.6
"Queensland","Wide Bay","18-19","male","Total participants",693
"Queensland","Wide Bay","18-19","male","Eligible participants",1004
"Queensland","Wide Bay","18-19","male","Participation rate (%)",69
"Queensland","Wright","18-19","male","Total participants",979
"Queensland","Wright","18-19","male","Eligible participants",1363
"Queensland","Wright","18-19","male","Participation rate (%)",71.8
"South Australia","Adelaide","18-19","male","Total participants",949
"South Australia","Adelaide","18-19","male","Eligible participants",1211
"South Australia","Adelaide","18-19","male","Participation rate (%)",78.4
"South Australia","Barker","18-19","male","Total participants",700
"South Australia","Barker","18-19","male","Eligible participants",991
"South Australia","Barker","18-19","male","Participation rate (%)",70.6
"South Australia","Boothby","18-19","male","Total participants",1107
"South Australia","Boothby","18-19","male","Eligible participants",1377
"South Australia","Boothby","18-19","male","Participation rate (%)",80.4
"South Australia","Grey","18-19","male","Total participants",562
"South Australia","Grey","18-19","male","Eligible participants",836
"South Australia","Grey","18-19","male","Participation rate (%)",67.2
"South Australia","Hindmarsh","18-19","male","Total participants",907
"South Australia","Hindmarsh","18-19","male","Eligible participants",1163
"South Australia","Hindmarsh","18-19","male","Participation rate (%)",78
"South Australia","Kingston","18-19","male","Total participants",1000
"South Australia","Kingston","18-19","male","Eligible participants",1302
"South Australia","Kingston","18-19","male","Participation rate (%)",76.8
"South Australia","Makin","18-19","male","Total participants",1000
"South Australia","Makin","18-19","male","Eligible participants",1348
"South Australia","Makin","18-19","male","Participation rate (%)",74.2
"South Australia","Mayo","18-19","male","Total participants",883
"South Australia","Mayo","18-19","male","Eligible participants",1113
"South Australia","Mayo","18-19","male","Participation rate (%)",79.3
"South Australia","Port Adelaide","18-19","male","Total participants",986
"South Australia","Port Adelaide","18-19","male","Eligible participants",1368
"South Australia","Port Adelaide","18-19","male","Participation rate (%)",72.1
"South Australia","Sturt","18-19","male","Total participants",988
"South Australia","Sturt","18-19","male","Eligible participants",1277
"South Australia","Sturt","18-19","male","Participation rate (%)",77.4
"South Australia","Wakefield","18-19","male","Total participants",965
"South Australia","Wakefield","18-19","male","Eligible participants",1339
"South Australia","Wakefield","18-19","male","Participation rate (%)",72.1
"Western Australia","Brand","18-19","male","Total participants",990
"Western Australia","Brand","18-19","male","Eligible participants",1357
"Western Australia","Brand","18-19","male","Participation rate (%)",73
"Western Australia","Burt","18-19","male","Total participants",1102
"Western Australia","Burt","18-19","male","Eligible participants",1504
"Western Australia","Burt","18-19","male","Participation rate (%)",73.3
"Western Australia","Canning","18-19","male","Total participants",896
"Western Australia","Canning","18-19","male","Eligible participants",1241
"Western Australia","Canning","18-19","male","Participation rate (%)",72.2
"Western Australia","Cowan","18-19","male","Total participants",1103
"Western Australia","Cowan","18-19","male","Eligible participants",1471
"Western Australia","Cowan","18-19","male","Participation rate (%)",75
"Western Australia","Curtin","18-19","male","Total participants",1137
"Western Australia","Curtin","18-19","male","Eligible participants",1395
"Western Australia","Curtin","18-19","male","Participation rate (%)",81.5
"Western Australia","Durack","18-19","male","Total participants",543
"Western Australia","Durack","18-19","male","Eligible participants",831
"Western Australia","Durack","18-19","male","Participation rate (%)",65.3
"Western Australia","Forrest","18-19","male","Total participants",875
"Western Australia","Forrest","18-19","male","Eligible participants",1225
"Western Australia","Forrest","18-19","male","Participation rate (%)",71.4
"Western Australia","Fremantle","18-19","male","Total participants",1000
"Western Australia","Fremantle","18-19","male","Eligible participants",1264
"Western Australia","Fremantle","18-19","male","Participation rate (%)",79.1
"Western Australia","Hasluck","18-19","male","Total participants",1052
"Western Australia","Hasluck","18-19","male","Eligible participants",1379
"Western Australia","Hasluck","18-19","male","Participation rate (%)",76.3
"Western Australia","Moore","18-19","male","Total participants",1271
"Western Australia","Moore","18-19","male","Eligible participants",1582
"Western Australia","Moore","18-19","male","Participation rate (%)",80.3
"Western Australia","O'Connor","18-19","male","Total participants",807
"Western Australia","O'Connor","18-19","male","Eligible participants",1132
"Western Australia","O'Connor","18-19","male","Participation rate (%)",71.3
"Western Australia","Pearce","18-19","male","Total participants",1136
"Western Australia","Pearce","18-19","male","Eligible participants",1541
"Western Australia","Pearce","18-19","male","Participation rate (%)",73.7
"Western Australia","Perth","18-19","male","Total participants",728
"Western Australia","Perth","18-19","male","Eligible participants",936
"Western Australia","Perth","18-19","male","Participation rate (%)",77.8
"Western Australia","Stirling","18-19","male","Total participants",745
"Western Australia","Stirling","18-19","male","Eligible participants",1035
"Western Australia","Stirling","18-19","male","Participation rate (%)",72
"Western Australia","Swan","18-19","male","Total participants",829
"Western Australia","Swan","18-19","male","Eligible participants",1134
"Western Australia","Swan","18-19","male","Participation rate (%)",73.1
"Western Australia","Tangney","18-19","male","Total participants",1146
"Western Australia","Tangney","18-19","male","Eligible participants",1452
"Western Australia","Tangney","18-19","male","Participation rate (%)",78.9
"Tasmania","Bass","18-19","male","Total participants",727
"Tasmania","Bass","18-19","male","Eligible participants",1008
"Tasmania","Bass","18-19","male","Participation rate (%)",72.1
"Tasmania","Braddon","18-19","male","Total participants",607
"Tasmania","Braddon","18-19","male","Eligible participants",868
"Tasmania","Braddon","18-19","male","Participation rate (%)",69.9
"Tasmania","Denison","18-19","male","Total participants",696
"Tasmania","Denison","18-19","male","Eligible participants",877
"Tasmania","Denison","18-19","male","Participation rate (%)",79.4
"Tasmania","Franklin","18-19","male","Total participants",720
"Tasmania","Franklin","18-19","male","Eligible participants",935
"Tasmania","Franklin","18-19","male","Participation rate (%)",77
"Tasmania","Lyons","18-19","male","Total participants",548
"Tasmania","Lyons","18-19","male","Eligible participants",786
"Tasmania","Lyons","18-19","male","Participation rate (%)",69.7
"Northern Territory","Lingiari","18-19","male","Total participants",292
"Northern Territory","Lingiari","18-19","male","Eligible participants",572
"Northern Territory","Lingiari","18-19","male","Participation rate (%)",51
"Northern Territory","Solomon","18-19","male","Total participants",442
"Northern Territory","Solomon","18-19","male","Eligible participants",750
"Northern Territory","Solomon","18-19","male","Participation rate (%)",58.9
"Australian Capital Territory","Canberra","18-19","male","Total participants",1764
"Australian Capital Territory","Canberra","18-19","male","Eligible participants",2260
"Australian Capital Territory","Canberra","18-19","male","Participation rate (%)",78.1
"Australian Capital Territory","Fenner","18-19","male","Total participants",1477
"Australian Capital Territory","Fenner","18-19","male","Eligible participants",1904
"Australian Capital Territory","Fenner","18-19","male","Participation rate (%)",77.6
"New South Wales","Banks","20-24","male","Total participants",3098
"New South Wales","Banks","20-24","male","Eligible participants",4224
"New South Wales","Banks","20-24","male","Participation rate (%)",73.3
"New South Wales","Barton","20-24","male","Total participants",3047
"New South Wales","Barton","20-24","male","Eligible participants",4186
"New South Wales","Barton","20-24","male","Participation rate (%)",72.8
"New South Wales","Bennelong","20-24","male","Total participants",3356
"New South Wales","Bennelong","20-24","male","Eligible participants",4492
"New South Wales","Bennelong","20-24","male","Participation rate (%)",74.7
"New South Wales","Berowra","20-24","male","Total participants",3767
"New South Wales","Berowra","20-24","male","Eligible participants",4808
"New South Wales","Berowra","20-24","male","Participation rate (%)",78.3
"New South Wales","Blaxland","20-24","male","Total participants",3530
"New South Wales","Blaxland","20-24","male","Eligible participants",4968
"New South Wales","Blaxland","20-24","male","Participation rate (%)",71.1
"New South Wales","Bradfield","20-24","male","Total participants",3384
"New South Wales","Bradfield","20-24","male","Eligible participants",4326
"New South Wales","Bradfield","20-24","male","Participation rate (%)",78.2
"New South Wales","Calare","20-24","male","Total participants",2777
"New South Wales","Calare","20-24","male","Eligible participants",4398
"New South Wales","Calare","20-24","male","Participation rate (%)",63.1
"New South Wales","Chifley","20-24","male","Total participants",3553
"New South Wales","Chifley","20-24","male","Eligible participants",5459
"New South Wales","Chifley","20-24","male","Participation rate (%)",65.1
"New South Wales","Cook","20-24","male","Total participants",2871
"New South Wales","Cook","20-24","male","Eligible participants",3855
"New South Wales","Cook","20-24","male","Participation rate (%)",74.5
"New South Wales","Cowper","20-24","male","Total participants",2333
"New South Wales","Cowper","20-24","male","Eligible participants",3830
"New South Wales","Cowper","20-24","male","Participation rate (%)",60.9
"New South Wales","Cunningham","20-24","male","Total participants",3947
"New South Wales","Cunningham","20-24","male","Eligible participants",5360
"New South Wales","Cunningham","20-24","male","Participation rate (%)",73.6
"New South Wales","Dobell","20-24","male","Total participants",3184
"New South Wales","Dobell","20-24","male","Eligible participants",4724
"New South Wales","Dobell","20-24","male","Participation rate (%)",67.4
"New South Wales","Eden-Monaro","20-24","male","Total participants",2274
"New South Wales","Eden-Monaro","20-24","male","Eligible participants",3455
"New South Wales","Eden-Monaro","20-24","male","Participation rate (%)",65.8
"New South Wales","Farrer","20-24","male","Total participants",2759
"New South Wales","Farrer","20-24","male","Eligible participants",4439
"New South Wales","Farrer","20-24","male","Participation rate (%)",62.2
"New South Wales","Fowler","20-24","male","Total participants",3460
"New South Wales","Fowler","20-24","male","Eligible participants",5120
"New South Wales","Fowler","20-24","male","Participation rate (%)",67.6
"New South Wales","Gilmore","20-24","male","Total participants",2411
"New South Wales","Gilmore","20-24","male","Eligible participants",3719
"New South Wales","Gilmore","20-24","male","Participation rate (%)",64.8
"New South Wales","Grayndler","20-24","male","Total participants",2946
"New South Wales","Grayndler","20-24","male","Eligible participants",3626
